Account_Name,Oracle Number,Record_Type,Account EE,Max MAU,12 Month Revenue,Account Segment,Customer Category,InsiderStatus,DIVISION,DnB_Market,DnB_Industry,First_Account_Contract,Account_Number
"SQUARE, INC.",6192310,US/Canada,"9,878","6,308","$1,089,139",Enterprise,Existing,No,S&D,BUSINESS SVCS,Prepackaged software,07/03/19,AC-00930393
STAR TRIBUNE MEDIA COMPANY LLC,6182929,US/Canada,700,609,"$194,149",Enterprise,Existing,,MFG,PRINT-PUBLISH,"Newspapers, publishing and printing",12/09/13,AC-00442622
STEINBACH CREDIT UNION LIMITED,6187525,US/Canada,612,615,"$109,590",Mid-market,Existing,No,S&D - FIN,DEPOSITORY,Federal credit unions,09/04/12,AC-00445614
"SUB-ZERO GROUP, INC.",6121086,US/Canada,"4,000","3,520","$1,284,348",Enterprise,Existing,No,MFG,ELECTRONIC EQPT,"Refrigerators, mechanical and absorption: household",08/19/08,AC-00421040
Success Foods Management Group LLC,6196839,US/Canada,"6,059","4,279","$1,187,090",Enterprise,Existing,,S&D,ENG-MGMT SVCS,Business management,12/26/18,AC-00571707
SUNSTAR AMERICAS  INC.,6192785,US/Canada,562,523,"$236,420",Mid-market,Existing,,MFG,INSTR RLTD PDTS,Dental equipment and supplies,10/10/07,AC-00583014
"Surgery Center Holdings, Inc.",6197211,US/Canada,"12,500","10,444","$1,849,735",Upper Enterprise,Existing,Yes  Active,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,06/30/18,AC-02535183
SWEETGREEN  INC.,6181380,US/Canada,"6,848","4,872","$1,453,774",Enterprise,Existing,No,HOSPITALITY,EATING-DRINKING,Eating places,08/26/19,AC-00497422
T & T SUPERMARKET INC,6190971,US/Canada,"6,957","7,369","$1,256,817",Upper Enterprise,Existing,,RETAIL,FOOD STORES,"Grocery stores, nec",12/22/16,AC-00554866
TAHOE FOREST HOSPITAL DISTRICT,6179809,US/Canada,"1,348","2,530","$707,607",Mid-market,Existing,Yes  Active,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,09/28/15,AC-00420994
TEKNION LIMITED,6186594,US/Canada,"2,400",812,"$302,670",Enterprise,Existing,,MFG,FURNITURE-FIXT,"Office furniture, except wood",11/03/15,AC-04592534
"Tennessee Health Management, Inc.",6194917,US/Canada,"3,843","3,719","$301,167",Enterprise,Existing,,S&D - FIN,INSUR-BROKERS,Commercial and industrial building operation,10/06/17,AC-00515885
Test Community Account,6142231,US/Canada,1,,$0,Enterprise,Existing,,S&D,BUSINESS SVCS,Business oriented computer software,09/20/18,AC-00888783
