Account_Name,Oracle Number,Record_Type,Account EE,Max MAU,12 Month Revenue,Account Segment,Customer Category,InsiderStatus,DIVISION,DnB_Market,DnB_Industry,First_Account_Contract,Account_Number
LANDCARE USA L.L.C.,6180422,US/Canada,"2,694",936,"$701,601",Enterprise,Existing,,MFG,AGRI SERVICES,Landscape contractors,04/01/16,AC-00456417
LANDS' END  INC.,6196642,US/Canada,"4,000","4,591","$827,892",Enterprise,Existing,Yes  Active,RETAIL,OTHER SPECIALTY,Catalog and mail-order houses,06/30/18,AC-00527271
Lanxess Corporation,6196510,US/Canada,"2,222","1,481","$535,095",Enterprise,Existing,,MFG,CHEMICAL-ALLIED,Plastics materials and resins,10/10/07,AC-00499752
Larry H. Miller Management Corporation,6197050,US/Canada,"3,000","2,662","$526,109",Upper Enterprise,Existing,,RETAIL,AUTO DEALR-SVC,"Automobiles, new and used",03/31/20,AC-00632103
LASKO PRODUCTS LLC,6141106,US/Canada,"1,800",522,"$397,114",Upper Mid-market,Existing,,MFG,INDL MACHINERY,Refrigeration and heating equipment,08/15/17,AC-00631669
LAUREATE EDUCATION  INC.,6197257,US/Canada,"6,614",17,"$107,371",Upper Enterprise,Existing,,PUBLIC SECTOR - K12,K-12,Educational services,10/10/07,AC-03429373
LOGAN ALUMINUM INC.,6181764,US/Canada,"1,551","2,153","$348,055",Enterprise,Existing,No,MFG,PRIMARY METAL,Aluminum extruded products,07/02/10,AC-00544058
Logistec Marine Services ULC,6145646,US/Canada,"2,366",783,"$318,086",Enterprise,Existing,,S&D,RAIL / AIR / MARITIME,Stevedoring,05/15/12,AC-00449448
MASSANUTTEN RESORT,6196552,US/Canada,"1,700","2,107","$558,346",Upper Mid-market,Existing,,HOSPITALITY,LODGING,Resort hotel,08/30/19,AC-00510289
MATTAMY HOMES LIMITED,6182722,US/Canada,"3,800","2,223","$489,336",Enterprise,Existing,,S&D - FIN,INSUR-BROKERS,"Land subdividers and developers, residential",09/18/13,AC-00485178
MCWANE  INC.,6181223,US/Canada,"4,837","3,988","$984,514",Enterprise,Existing,,MFG,FABRCTD METALS,Fire hydrant valves,06/21/17,AC-00637081
Mediacom Broadband LLC,6196856,US/Canada,"4,100","3,872","$848,847",Enterprise,Existing,,S&D,COMMUNICATION,Subscription television services,01/02/14,AC-00578685
Members 1st Federal Credit Union,6181358,US/Canada,"1,300","1,462","$464,888",Mid-market,Existing,Yes  Active,S&D - FIN,DEPOSITORY,Federal credit unions,09/06/10,AC-00525080
MEMORIAL HEALTH,6189253,US/Canada,"1,139","1,698","$305,959",Mid-market,Existing,,HEALTHCARE,HOSPITALS,"Hospital, affiliated with AMA residency",04/03/09,AC-00644634
MESSER NORTH AMERICA INC,6163462,US/Canada,"6,000","3,137","$1,889,980",Upper Enterprise,Existing,,MFG,CHEMICAL-ALLIED,Industrial gases,06/25/19,AC-00431095
MICRO ELECTRONICS,6179441,US/Canada,"2,992","7,659","$651,789",Enterprise,Existing,Yes  Active,RETAIL,FURNISHINGS,Computer and software stores,10/10/07,AC-00407541
MILLER'S ALE HOUSE  INC.,6185975,US/Canada,"7,931","3,053","$1,243,167",Enterprise,Existing,,HOSPITALITY,EATING-DRINKING,"Restaurant, family: chain",12/30/14,AC-05002489
MINNESOTA SPORTS & ENTERTAINMENT,6092410,US/Canada,"1,347",742,"$443,351",Mid-market,Existing,,HOSPITALITY,GAMING,Hockey instruction school,06/05/09,AC-05747193
MISTRAS GROUP INC.,6119036,US/Canada,"5,000","3,558","$861,280",Enterprise,Existing,No,S&D,ENG-MGMT SVCS,Engineering services,07/14/15,AC-00635149
"MNGI DIGESTIVE HEALTH, P.A.",6188761,US/Canada,"1,135","4,102","$463,469",Mid-market,Existing,Yes  Active,HEALTHCARE,HEALTH SERVICES,Hematologist,10/10/07,AC-00510836
Modern/Niagara Group Inc,6196602,US/Canada,"3,673","2,017","$437,915",Enterprise,Existing,,MFG,SPECIAL TRADE,Mechanical contractor,06/19/19,AC-00519775
MOM365  INC.,6196802,US/Canada,639,570,"$199,640",Mid-market,Existing,,S&D,PERSONAL SVCS,"Photographer, still or video",08/14/14,AC-00562579
"Morton Salt, Inc.",6072974,US/Canada,"5,000","1,617","$792,358",Enterprise,Existing,No,MFG,CHEMICAL-ALLIED,Adhesives and sealants,09/18/01,AC-00601985
Moss Adams Advisory Group LP,6196547,US/Canada,"5,214","4,722","$914,132",Upper Enterprise,Existing,,S&D,PROFESSIONAL SERVICES,Certified public accountant,11/03/14,AC-00508399
National Health Corporation,6157078,US/Canada,"16,892","15,238","$2,728,516",Upper Enterprise,Existing,Yes  Active,HEALTHCARE,LONG TERM CARE,Convalescent home with continuous nursing care,02/03/20,AC-00652306
National Rifle Association of America,6197293,US/Canada,450,374,"$200,170",Emerging,Existing,,S&D,MEMBERSHIP ORGS,Amateur sports promotion,09/01/16,AC-03728426
Nikon Precision Inc.,6141819,US/Canada,500,449,"$263,124",Upper Mid-market,Existing,No,TRANS-DIST,WHLSALE-DURABLE,"Electronic parts and equipment, nec",10/10/07,AC-00452004
NINTENDO OF AMERICA INC,6117372,US/Canada,"3,200","2,445","$947,280",Enterprise,Existing,No,TRANS-DIST,WHLSALE-DURABLE,Video games,02/06/14,AC-00513818
NIPPON DYNAWAVE PACKAGING COMPANY  LLC,6195587,US/Canada,527,498,"$378,302",Mid-market,Existing,,MFG,PAPER-ALLIED,Paperboard backs for blister or skin packages,06/23/16,AC-05687445
NORTH AMERICAN FAMILY INSTITUTE  INC.,6197806,US/Canada,"1,477","1,548","$389,866",Upper Mid-market,Existing,,GOVT-EDUC,SOCIAL SERVICES,Child related social services,02/08/17,AC-00504013
NORTHWESTEL INC,6181761,US/Canada,805,531,"$182,853",Upper Enterprise,Existing,,S&D,COMMUNICATION,Data communication services,10/01/12,AC-04615182
NOT YOUR AVERAGE JOE'S  INC.,6196676,US/Canada,813,360,"$186,163",Mid-market,Existing,,HOSPITALITY,EATING-DRINKING,American restaurant,12/27/16,AC-00536769
"NUEHEALTH ENTERPRISES, LLC",6197468,US/Canada,"1,162","1,139","$323,191",Upper Mid-market,Existing,,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,10/21/19,AC-05614535
NVIDIA CORPORATION,6072401,US/Canada,"56,000","13,878","$2,033,632",Upper Enterprise,Existing,,S&D,BUSINESS SVCS,Computer software development and applications,12/05/07,AC-00544714
Oncor Electric Delivery Holdings Company LLC,6196218,US/Canada,"4,962","8,388","$1,696,460",Upper Enterprise,Existing,No,MFG,ELEC-GAS-SANI,"Distribution, electric power",05/14/19,AC-00423367
ONEHARRIS  INC.,6178955,US/Canada,"2,959","1,607","$853,096",Enterprise,Existing,Yes  Active,S&D - FIN,HLDG-INVESTMENT,"Investment holding companies, except banks",03/19/19,AC-05715993
ONTARIO EDUCATIONAL COMMUNICATIONS AUTHORITY  THE,6197150,US/Canada,830,540,"$177,439",Upper Enterprise,Existing,,MFG,PRINT-PUBLISH,Internet publishing and broadcasting,01/22/19,AC-00685100
OSI RESTAURANT PARTNERS  LLC,6179529,US/Canada,"65,000","25,761","$2,963,029",Upper Enterprise,Existing,No,HOSPITALITY,EATING-DRINKING,Steak restaurant,07/06/11,AC-00463089
"OTTERBEIN HOMES, INC.",6182811,US/Canada,"3,200","2,740","$559,666",Enterprise,Existing,No,HEALTHCARE,SOCIAL SERVICES,Aged home,12/24/10,AC-05751459
OUTREACH HEALTH CARE  INC,6196359,US/Canada,"4,500",882,"$465,377",Enterprise,Existing,,HEALTHCARE,LONG TERM CARE,Domiciliary care,03/20/17,AC-00460028
P C Northwest Permanente,6196751,US/Canada,"2,000","1,541","$656,797",Upper Enterprise,Existing,No,HEALTHCARE,SPECIALTY,Home health care services,03/11/14,AC-00552712
PACIFIC SEAFOOD,6013714,US/Canada,"4,500","7,747","$796,747",Enterprise,Existing,No,MFG,FOOD-KINDRED,"Seafoods, fresh: prepared",09/15/00,AC-00624088
PACIFIC SUNWEAR STORES LLC,6196520,US/Canada,"10,000","8,621","$1,560,572",Upper Enterprise,Existing,,RETAIL,APPAREL-ACCY,"Clothing, sportswear, men's and boys'",06/30/17,AC-00503113
PARK NATIONAL BANK,6013374,US/Canada,"1,904","1,911","$617,529",Enterprise,Existing,No,S&D,BANKING AND INSURANCE,National commercial banks,04/12/04,AC-00415280
Parr Lumber Company,6180254,US/Canada,"1,540","2,443","$366,958",Upper Mid-market,Existing,,RETAIL,BUILDING-GARDEN,Planing mill products and lumber,01/01/08,AC-03392796
PASON SYSTEMS INC,6197177,US/Canada,600,678,"$148,951",Mid-market,Existing,,MFG,OIL-GAS EXTRACT,"Oil field services, nec",10/28/14,AC-00908972
PCH HOTELS & RESORTS INC/RSA BATTLE HOUSE TOWER,6081635,US/Canada,"2,367","2,712","$780,186",Upper Mid-market,Existing,No,HOSPITALITY,LODGING,Hotels and motels,06/13/13,AC-00401853
People Inc.,6186004,US/Canada,"5,450","4,165","$1,264,064",Enterprise,Existing,Yes  Active,GOVT-EDUC,SOCIAL SERVICES,Mentally handicapped home,10/10/07,AC-00415987
PHARMASCIENCE INC,6067148,US/Canada,"1,766","1,925","$398,364",Upper Mid-market,Existing,Yes  Active,MFG,CHEMICAL-ALLIED,Druggists' preparations (pharmaceuticals),11/26/02,AC-00514273
