Product,Flag Key,Created Date,Archived,Enabled In Prod,ukg-expiry-date,Rules Details,Fallthrough Variation,Variations,Default On Variation,Default Off Variation,jira issues,Description
UTM,utm-allow-mx-rebrand,3/19/26 21:27,FALSE,FALSE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=MX theme and Rebrand styles  are displayed in UTM; name=Disabled, value=false, description=Classic theme is displayed in UTM",Enabled (true),Disabled (false),PS-669435,Controls whether the MX theme and Rebrand styles should be displayed in UTM. UtmSettings: AllowMxRebrand
UTM,utm-allow-ptms-deprecated,3/23/26 13:57,FALSE,TRUE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=UTM works with TReX instead of TMS; name=Disabled, value=false, description=UTM works with TMS instead of TReX",Enabled (true),Disabled (false),PS-767599,"UTM flag for PTMS deprecation. When enabled (with master prerequisite 'release-global-ptms-deprecated'), UTM routes against TRex instead of calling TMS. UtmSettings: AllowPtmsDeprecated"
UTM,utm-allow-skip-removed-kafka-msg,3/19/26 16:26,FALSE,TRUE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=Skip notifications with Removed status when processing messages from KAFKA_MESSAGES table; name=Disabled, value=false, description=Don't skip notifications with Removed status when processing messages from KAFKA_MESSAGES table",Enabled (true),Disabled (false),PS-792282,Controls whether the UTM Messaging Service excludes the notifications with Removed status when processing messages from KAFKA_MESSAGES table. UtmSettings: AllowSkipRemovedKafkaMsg
UTM,utm-allow-skip-removed-kafka-msgs,3/18/26 14:11,TRUE,FALSE,12/31/99,,Disabled (false),"name=Enabled, value=true, description=Skip notifications with Removed status when processing messages from KAFKA_MESSAGES table; name=Disabled, value=false, description=Don't skip notifications with Removed status when processing messages from KAFKA_MESSAGES table",Enabled (true),Disabled (false),PS-792282,Controls whether the UTM Messaging Service excludes the notifications with Removed status when processing messages from KAFKA_MESSAGES table. UtmSettings: AllowSkipRemovedKafkaMsgs
UTM,utm-approved-calc-engine-version,3/10/26 14:30,FALSE,TRUE,12/31/99,"Calc Engine Version 1: tenant.id in [62209e19-7836-44bb-8627-42e8abd9fe83, 57b12d35-6f9d-45bd-958b-f510e51edc13] -> var: 1 (1: NOVA4000 Merge of UTM and Ascentis)",0: NOVA4000 UTM (0),"name=0: NOVA4000 UTM, value=0, description=NOVA4000 UTM calculation engine; name=1: NOVA4000 Merge of UTM and Ascentis, value=1, description=NOVA4000 Merge of UTM and Ascentis calculation engine; name=2: NOVA5000 FoxPro, value=2, description=NOVA5000 FoxPro calculation engine; name=3: NOVA5000 .NET, value=3, description=NOVA5000 .NET calculation engine",0: NOVA4000 UTM (0),0: NOVA4000 UTM (0),PS-772687,Controls which calculation engine version is approved for use. UtmSettings: ApprovedCalcEngineVersion.
UTM,utm-enable-mx-rebrand,3/12/26 22:45,TRUE,FALSE,12/31/99,,Disabled (false),"name=Enabled, value=true, description=MX theme and Rebrand styles  are displayed in UTM; name=Disabled, value=false, description=Classic theme is displayed in UTM",Disabled (false),Enabled (true),PS-669435,Controls whether the MX theme and Rebrand styles should be displayed in UTM. UtmSettings: UtmEnableMxRebrand
UTM,utm-enable-pto-request-refactor,3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=PTO Request notifications are sent before accruals calc job; name=Disabled, value=false, description=Existing Behavior - PTO Request notifications are sent after accruals calc job",Disabled (false),Enabled (true),PS-683265,"Controls whether to send pto notifications before accruals recalculate, or after. Also checks if manager has access to employee's pto request."
UTM,utm-fix-accrual-repo-adjustments-rounding,3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=Rounds the accrual_post.nused field in query; name=Disabled, value=false, description=Existing Behavior - does not round accrualpost.nused field in query",Disabled (false),Enabled (true),PS-708649,Controls whether to round the accrual_post.nused in GetAccrualBalances in AccrualRepository.cs
UTM,utm-fix-concurrent-payroll-process-exceptions-report,3/25/26 18:39,FALSE,TRUE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=Replaces spaces character in text field name with underscore to avoid error.; name=Disabled, value=false, description=Original behavior: report crashes.",Enabled (true),Disabled (false),PS-790426,Controls whether to fix issue in ConcurentPayrollProcessEx_PR.vb
UTM,utm-fix-ical-sql-timeout,3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=Add empseq filter to query; name=Disabled, value=false, description=Existing Behavior - does not filter by employee",Disabled (false),Enabled (true),PS-672409,Controls whether to add empSeq filter in GetAllRequestsWithSameICal in PtoRequestRepository.cs
UTM,utm-fix-timesheet-summary-header,3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=Adds span to timesheet summary header; name=Disabled, value=false, description=Existing Behavior - No span in timesheet summary header",Disabled (false),Enabled (true),PS-676954,Controls whether to add a span to timesheet summary header in Timesheet Summary Angular page
,allow-protime-schedule-data-import-controller-security-fix,6/4/26 10:39,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Allowed canonical path check for schedule data import controller; name=Disallowed, value=false, description=Disallowed canonical path check for schedule data import controller",Allowed (true),Disallowed (false),PS-813704,Allows enabling canonical path validation to prevent the Absolute Path Traversal vulnerability in the schedule data import controller.
WFM-Classic,allow-protime-wfm-classic-accruals-pausing-during-probation-period,5/19/26 13:57,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature flag will be turned ON accruals pausing during probation period.; name=Disabled, value=false, description=Feature flag will be turned OFF accruals not pausing during probation period.",Enabled (true),Disabled (false),PS-889762,Feature flag to enable accruals pausing during probation period.
WFM-Classic,allow-protime-wfm-classic-ee-persona-property-audit,5/14/26 9:59,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature flag to enable entries in the EE Persona Property Audit Table.; name=Disabled, value=false, description=Feature flag to enable entries in the EE Persona Property Audit Table.",Enabled (true),Disabled (false),PS-886414,Feature flag to enable entries in the EE Persona Property Audit Table.
WFM-Classic,allow-protime-wfm-classic-preferred-firstname,4/6/26 7:26,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To check Preferred Firstname.; name=Disabled, value=false, description=Feature Flag To check Preferred Firstname.",Enabled (true),Disabled (false),PS-798865,Feature Flag To check Preferred Firstname.
